Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
Fairy Tales ,হ্যান্স ক্রিশ্চিয়ান অ্যান্ডারসন,"","TK. 5,679",https://rokomari.com//book/85361/fairy-tales,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/7d05fb28d_85361.jpg,"An anthology of Hans Anderson fairy tales and stories. It contains favourites such as ""The Little Mermaid"", ""The Ugly Duckling"", ""The Princess and the Pea"" and ""The Emperor's New Clothes"".",Fairy Tales,Hans Christian Andersen, , ,Forgotten Books,9780267261758,"1st Edition,2018",356,India,English
"The Twelve Tissue Remedies of Schuessler: Comprising the Theory, Therapeutical Application, Materia Medica, and a Complete Repertory of These Remedies ",ড. ইউলিয়াম বোয়েরিক,"","TK. 1,901",https://rokomari.com//book/174805/the-twelve-tissue-remedies-of-schuessler--comprising-the-theory--therapeutical-application--materia-medica--and-a-complete-repertory-of-these-remedies-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/c35454ce6_174805.jpg,"","The Twelve Tissue Remedies of Schuessler: Comprising the Theory,Therapeutical Application,Materia Medica,and a Complete Repertory of These Remedies ",Dr. William Boericke, , ,Forgotten Books,9781334048777,"1st Edition,2018",370,India,English
Human Behavior: A First Book in Psychology for Teachers,স্টিফেন শেল্ডন কলভিন,"",TK. 958,https://rokomari.com//book/163383/human-behavior--a-first-book-in-psychology-for-teachers,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/6c4ffd815_163383.jpg,"",Human Behavior: A First Book in Psychology for Teachers,Stephen Sheldon Colvin, , ,Forgotten Books,9781330140437,"1st Edition,2015",364,India,English
A Short History of the Saracens,সাইয়েদ আমির আলী,"","TK. 4,678",https://rokomari.com//book/175251/a-short-history-of-the-saracens,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/64db891b1_175251.jpg,"",A Short History of the Saracens,Syed Ameer Ali, , ,Forgotten Books,9781330920961,"1st Edition,2018",746,India,English
Conquest of the Land Through Seven Thousand Years (Classic Reprint),ওয়াল্টার ক্লে লাউডারমিল্ট,"",TK. 900,https://rokomari.com//book/174207/conquest-of-the-land-through-seven-thousand-years--classic-reprint-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/de5fa2240_174207.jpg,"",Conquest of the Land Through Seven Thousand Years (Classic Reprint),Walter Clay Lowdermilk, , ,Forgotten Books,9780282900656,"1st Edition,2018",52,India,English
Green Building Fundamentals A Concise Summary of Leed(R) Building Certification and Professional Accreditation Systems,জর্জ টাউনসেন্ড ওয়ার্নার,"","TK. 2,878",https://rokomari.com//book/174757/green-building-fundamentals-a-concise-summary-of-leed-r--building-certification-and-professional-accreditation-systems,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/53c518831_174757.jpg,"",Green Building Fundamentals A Concise Summary of Leed(R) Building Certification and Professional Accreditation Systems,George Townsend Warner, , ,Forgotten Books,9780282397685,"1st Edition,2018",354,India,English
Response in the Living and Non-Living (Classic Reprint) ,আচার্য জগদীশচন্দ্র বসু,"","TK. 2,482",https://rokomari.com//book/182216/response-in-the-living-and-non-living--classic-reprint--,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/d3dcc60e8_182216.jpg,"",Response in the Living and Non-Living (Classic Reprint) ,Acarjo Jogodishcandro Bosu, , ,Forgotten Books,9781331953005,"1st Edition,2018",266,India,English
The Original Letters from India of Mrs. Eliza Fay: With Introduction and Notes,এলিজা ফে,"","TK. 2,338",https://rokomari.com//book/165239/the-original-letters-from-india-of-mrs--eliza-fay--with-introduction-and-notes,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/eec9138e9_165239.jpg,"",The Original Letters from India of Mrs. Eliza Fay: With Introduction and Notes,Eliza Fay, , ,Forgotten Books,9780259992790,"1st Edition,2017", ,India,English
Introductory Text-Book of Physical Geography (Classic Reprint),ডেভিট পেজ,"","TK. 4,880",https://rokomari.com//book/172716/introductory-text-book-of-physical-geography--classic-reprint-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/f9b55146c_172716.jpg,"",Introductory Text-Book of Physical Geography (Classic Reprint),David Page, , ,Forgotten Books,9780265593721,"1st Edition,2017",264,India,English
The Seven Wonders of the Ancient World,এডগার জে ব্যাংকস,"","TK. 2,518",https://rokomari.com//book/170458/the-seven-wonders-of-the-ancient-world,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/661b4fc9c_170458.jpg,"",The Seven Wonders of the Ancient World,Edgar J Banks, , ,Forgotten Books,9781451002881,"Classic Reprint,2018",284,India,English
The Nun'S Priest'S Tale,জিওফ্রে চসার,"","TK. 1,276",https://rokomari.com//book/170626/the-nun-s-priest-s-tale,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/e9fc46ef6_170626.jpg,"",The Nun'S Priest'S Tale,Geoffrey Chaucer, , ,Forgotten Books,9781330160367,"1st Edition,2018",100,India,English
The International Jew: The World's Foremost Problem (Classic Reprint),ডিয়ারবর্ন ইন্ডিপেনডেন্ট,"","TK. 2,194",https://rokomari.com//book/170648/the-international-jew--the-world-s-foremost-problem--classic-reprint-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/590432648_170648.jpg,"",The International Jew: The World's Foremost Problem (Classic Reprint),Dearborn Independent, , ,Forgotten Books,9781330228708,"1st published,2018",238,India,English
"The Complete Works of John Keats, Vol. 3 of 5: Posthumous Poems 1812-1820, Essays and Notes",জন কীটস,"","TK. 1,834",https://rokomari.com//book/170897/the-complete-works-of-john-keats--vol--3-of-5--posthumous-poems-1812-1820--essays-and-notes,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/960ff680c_170897.jpg,"","The Complete Works of John Keats,Vol. 3 of 5: Posthumous Poems 1812-1820,Essays and Notes",John Keats, , ,Forgotten Books,9780243520152,"1st Edition,2018",306,India,English
"Mnemonics Applied to the Acquisition of Knowledge, or the Art of Memory: In Parts (Classic Reprint)",রবার্ট পাইক জেআর,"","TK. 1,915",https://rokomari.com//book/170904/mnemonics-applied-to-the-acquisition-of-knowledge--or-the-art-of-memory--in-parts--classic-reprint-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/473bb2926_170904.jpg,"","Mnemonics Applied to the Acquisition of Knowledge,or the Art of Memory: In Parts (Classic Reprint)",Robert Pike Jr, , ,Forgotten Books,9780282854171,"Reprint edition,2018",112,India,English
